ELE/MEC,EQUIPAMENTO,MARCA ,MODELO,RANGE,"UNIDADE
RANGE",COD INTERNO,SERIAL,DIVISÃO,PS,ENTRADA OF ET,SAÍDA/CAL,RETORNO CAL,ULTIMA CALIBRAÇÃO,CICLO CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,SITUAÇÃO,COMENTÁRIOS,CUSTO ESTIMADO,CUSTO CONTRAT (R$),PAGAMENTO,LOCAL CALIBRAÇÃO,item,CERTIFICADO 
ELE ,ANALISADOR DE ESPECTRO,ROHDE&SCHWARZ,FSL18,,,MAN-EXO-ATENA-004,102412,EXOCET,CMS 004/2025,08/21/24,08/22/24,09/16/24,09/13/24,12,09/13/25,DESCALIBRADO,certificado nº 2142090/2024,CMS,EM CALIBRACAO,"R$ 3,104.95","R$ 1,450.51",,CMS,,R101809Z/DEZ/2025 
ELE ,FONTE DC,SODILEC,DT 5V8A,,,,,EXOCET,,08/23/24,09/05/24,,,12,01/01/24,DESCALIBRADO,REPARO,CMASM ?,REPARO,,R$ 180.00,,MQT 129/2025,,
ELE ,FONTE DC,SODILEC,DT 5V8A,,,,,EXOCET,,08/23/24,09/05/24,,,12,01/01/24,DESCALIBRADO,REPARO,CMS ?,REPARO,R$ 905.02,R$ 180.00,,MQT 129/2025,,
ELE ,FONTE DC,SODILEC,600 2A - -  50V / 10A,,,,,EXOCET,,08/23/24,09/05/24,05/15/25,04/11/25,12,04/11/26,DESCALIBRADO,,CMASM ?,REPARO,R$ 905.02,R$ 180.00,,MQT 129/2025,,
ELE ,GERADOR DE FUNÇÕES,AGILENT,33220A,,,MAN-EXO-ATENA-001,MY44059326,EXOCET,,08/21/24,08/22/24,09/16/24,09/10/24,12,09/10/25,DESCALIBRADO,certificado nº 2142088/2024,CMASM,,"R$ 1,552.47",R$ 410.00,,MQT 129/2025,,
ELE ,GERADOR DE FUNÇÕES,KEYSIGHT,33220A,,,MAN-EXO-ATENA-001,MY44065414,EXOCET,CMS 007/2025,,,,,,01/01/24,DESCALIBRADO,,CMS,EM CALIBRACAO,,R$ 967.01,,CMS,,R101809Z/DEZ/2025 
ELE ,MULTÍMETRO,FLUKE,73,,,MAN-EXO-BCA-001,42520905,EXOCET,,01/17/25,01/30/25,05/15/25,04/11/25,12,04/11/26,DESCALIBRADO,certificado nº 2142141/2023,CMASM,,R$ 776.23,R$ 165.00,,MQT 129/2025,,
ELE ,MULTÍMETRO,FLUKE,179,,,MAN-EXO-BCA-004,25120143,EXOCET,,09/20/23,09/28/23,11/16/23,10/27/23,12,10/27/24,DESCALIBRADO,certificado nº 2142110/2023,CMASM,,R$ 560.75,R$ 165.00,,MQT 129/2025,,
ELE ,MULTÍMETRO,FLUKE,73,,,MAN-EXO-BCA-006,42520904,EXOCET,,01/17/25,01/30/25,06/04/25,05/21/25,12,05/21/26,DESCALIBRADO,certificado nº 2142098/2025,CMASM,,R$ 560.75,R$ 165.00,,MQT 129/2025,,
ELE ,MULTÍMETRO 6 DÍGITOS,AGILENT,34401A,"1000 VDC 
750 VAC
100 a 100M Ohm
0.01 a 3 ADC
1 a 3 AAC
Continuidade 
Diodo",,MAN-EXO-ATENA-002,MY47068300,EXOCET,,08/21/24,08/22/24,09/16/24,02/05/25,12,02/05/26,DESCALIBRADO,64435-B/2025,CMASM,,"R$ 1,164.35",R$ 967.01,,CMS,,
ELE ,MULTÍMETRO 6 DÍGITOS,KEYSIGHT,34401A,,,MAN-EXO-ATENA-002,MY53022546,EXOCET,CMS 006/2025,,,,,,01/01/24,DESCALIBRADO,,CMS,EM CALIBRACAO,,R$ 967.01,,CMS,,R101809Z/DEZ/2025 
ELE ,OHMÍMETRO,SEFELEC,MR46,,,MAN-EXO-ATENA,IEEE488,EXOCET,,,,,,,,,,,REPETIDO??,,R$ 456.00,,MQT 129/2025,,
ELE ,OHMÍMETRO,SEFELEC,MR46,,,MAN-EXO-ATENA-003,1528813,EXOCET,CMS 005/2025,10/24/24,10/31/24,11/25/24,11/12/24,12,11/12/25,DESCALIBRADO,falta certificADO,CMS,EM CALIBRACAO,R$ 270.00,R$ 967.00,,CMS,,R101809Z/DEZ/2025 
ELE ,OHMÍMETRO,AGI,1681A,,,MAN-EXO-BCA-005,MAG00729,EXOCET,MQT LT2 / 2026,10/24/24,10/31/24,11/25/24,11/12/24,12,11/12/25,DESCALIBRADO,falta certificADO,CMASM,,R$ 776.23,R$ 456.00,,MQT 129/2025,17,
ELE ,OSCILOSCÓPIO,TEKTRONIX,TDS210,,,MAN-EXO-BCA-002,B104582,EXOCET,,01/17/25,01/30/25,06/04/25,05/15/25,12,05/15/26,DESCALIBRADO,certificado nº 2142045/2025,CMASM,,R$ 747.66,R$ 475.00,,MQT 129/2025,,
ELE ,OSCILOSCÓPIO,TEKTRONIX,TBS1102B ,,,MAN-EXO-BCA-003,C032174,EXOCET,,01/17/25,01/30/25,06/04/25,05/12/25,12,05/12/26,DESCALIBRADO,certificado nº 2142046/2023,CMASM,,R$ 747.66,R$ 475.00,,MQT 129/2025,,
MEC,TORQUÍMETRO ,CMKP,1 - 4 dNm ,0.4,Nm,MAN-EXO-MEC-001,,EXOCET,MQT LT2 / 2026,,,,,12,01/01/24,DESCALIBRADO,0835/2022,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,35,
MEC,TORQUÍMETRO ,SAM,2 – 20 MdaN,200.0,Nm,MAN-EXO-MEC-014,8312,EXOCET,MQT LT2 / 2026,,,,,12,01/01/24,DESCALIBRADO,,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,35,
MEC,TORQUÍMETRO ,FALCOM,40 – 200 Nm S315 DA,265.0,Nm,MAN-EXO-MEC-015,S315DA,EXOCET,MQT LT2 / 2026,07/15/24,08/20/24,11/10/25,11/06/25,12,11/06/26,CALIBRADO,222199/24,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,35,
MEC,TORQUÍMETRO ,SAM,Sam – 20-200 Nm,200.0,Nm,MAN-EXO-MEC-016,27481,EXOCET,,09/16/24,09/18/24,10/16/24,10/02/24,12,10/02/25,DESCALIBRADO,1629/23,CMASM,,R$ 100.00,R$ 70.00,,MQT 129/2025,,
